Lregnr;Vdrnr;Vassdrag;Vassdrag2;Fylke;Kommune;Aar;Laks_ant_u3kg;Laks_ant_o3u7kg;Laks_ant_o7kg;Laks_ant;Laks_vekt_u3kg;Laks_vekt_o3u7kg;Laks_vekt_o7kg;Laks_vekt;PrHuSmall;PrHuMellom;PrHuStor;ExpSmallMin;ExpSmallMed;ExpSmallMax;ExpMellomMin;ExpMellomMed;ExpMellomMax;ExpStorMin;ExpStorMed;ExpStorMax;GBMkghunner;GBMmin;GBMmax;StamAntSmaHo;StamAntMelHo;StamAntStorHo;Nsport;ProsOpp;OppdrMaalt;Gjen_ant_u3kg;Gjen_ant_o3u7kg;Gjen_ant_o7kg;Gjen_ant;Gjen_vekt_u3kg;Gjen_vekt_o3u7kg;Gjen_vekto7kg;Gjen_vekt;PrHuSmall_Gjenut;PrHuMellom_Gjenut;PrHuStor_Gjenut;FangstAndSmallMin;FangstAndSmallMed;FangstAndSmallMax;FangstAndMellomMin;FangstAndMellomMed;FangstAndMellomMax;FangstAndStorMin;FangstAndStorMed;FangstAndStorMax;Obs_laks_ant_u3kg;Obs_laks_ant_o3u7kg;Obs_laks_ant_o7kg;Obs_laks_ant;Probs_small_med;Probs_small_min;Probs_small_max;Probs_mellom_med;Probs_mellom_min;Probs_mellom_max;Probs_stor_med;Probs_stor_min;Probs_stor_max;Simulering;InklNormal
200112;112.Z;Surna;SurnamedRinna;MR;Surnadal;1993;768;357;369;1494;1415;1279;3285;5979;0.2;0.7;0.7;0.3;0.45;0.55;0.3;0.35;0.45;0.2;0.3;0.45;4835.986207;3626.989655;7253.97931;NA;NA;NA;NA;5.75;NA;0;0;0;0;0;0;0;0;0.25;0.7;0.7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;0
200112;112.Z;Surna;SurnamedRinna;MR;Surnadal;1994;1289;408;65;1762;2554;1751;608;4913;0.2;0.7;0.7;0.3;0.45;0.55;0.3;0.35;0.45;0.2;0.3;0.45;4835.986207;3626.989655;6044.982759;NA;NA;NA;NA;6.74;NA;0;0;0;0;0;0;0;0;0.25;0.7;0.7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;0
200112;112.Z;Surna;SurnamedRinna;MR;Surnadal;1995;858;758;234;1850;1499;3954;2017;7470;0.2;0.7;0.7;0.3;0.45;0.55;0.3;0.35;0.45;0.2;0.3;0.45;4835.986207;3626.989655;6044.982759;NA;NA;NA;NA;7.8;NA;0;0;0;0;0;0;0;0;0.25;0.7;0.7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;0
200112;112.Z;Surna;SurnamedRinna;MR;Surnadal;1996;561;496;319;1376;1024;2490;2890;6404;0.2;0.7;0.7;0.3;0.45;0.55;0.3;0.35;0.45;0.2;0.3;0.45;4835.986207;3626.989655;6044.982759;NA;NA;NA;NA;13;NA;0;0;0;0;0;0;0;0;0.25;0.7;0.7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;0
200112;112.Z;Surna;SurnamedRinna;MR;Surnadal;1997;513;396;168;1077;996;1937;1443;4376;0.2;0.7;0.7;0.3;0.45;0.55;0.3;0.35;0.45;0.2;0.3;0.45;4835.986207;3626.989655;6044.982759;NA;NA;NA;NA;10.83;NA;0;0;0;0;0;0;0;0;0.25;0.7;0.7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;0
200112;112.Z;Surna;SurnamedRinna;MR;Surnadal;1998;820;264;87;1171;1545;1342;732;3619;0.2;0.7;0.7;0.3;0.45;0.55;0.3;0.35;0.45;0.2;0.3;0.45;4835.986207;3626.989655;6044.982759;NA;NA;NA;NA;16.2;NA;0;0;0;0;0;0;0;0;0.25;0.7;0.7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;0
200112;112.Z;Surna;SurnamedRinna;MR;Surnadal;1999;883;250;50;1183;1676;1125;410;3211;0.2;0.7;0.7;0.3;0.45;0.55;0.3;0.35;0.45;0.2;0.3;0.45;4835.986207;3626.989655;6044.982759;NA;NA;NA;NA;13;NA;0;0;0;0;0;0;0;0;0.25;0.7;0.7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;0
200112;112.Z;Surna;SurnamedRinna;MR;Surnadal;2000;954;718;170;1842;1747;3637;1454;6838;0.2;0.7;0.7;0.3;0.45;0.55;0.3;0.35;0.45;0.2;0.3;0.45;4835.986207;3626.989655;6044.982759;NA;NA;NA;NA;0;NA;0;0;0;0;0;0;0;0;0.25;0.7;0.7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;0
200112;112.Z;Surna;SurnamedRinna;MR;Surnadal;2001;1363;408;101;1872;2809;1831;861;5501;0.2;0.7;0.7;0.3;0.45;0.55;0.3;0.35;0.45;0.2;0.3;0.45;4835.986207;3626.989655;6044.982759;NA;NA;NA;NA;8.93;NA;0;0;0;0;0;0;0;0;0.25;0.7;0.7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;0
200112;112.Z;Surna;SurnamedRinna;MR;Surnadal;2002;824;710;176;1710;1416;3770;1444;6630;0.2;0.7;0.7;0.3;0.45;0.55;0.3;0.35;0.45;0.2;0.3;0.45;4835.986207;3626.989655;6044.982759;NA;NA;NA;NA;9;NA;0;0;0;0;0;0;0;0;0.25;0.7;0.7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;0
