Lregnr;Vdrnr;Vassdrag;Vassdrag2;Fylke;Kommune;Aar;Laks_ant_u3kg;Laks_ant_o3u7kg;Laks_ant_o7kg;Laks_ant;Laks_vekt_u3kg;Laks_vekt_o3u7kg;Laks_vekt_o7kg;Laks_vekt;PrHuSmall;PrHuMellom;PrHuStor;ExpSmallMin;ExpSmallMed;ExpSmallMax;ExpMellomMin;ExpMellomMed;ExpMellomMax;ExpStorMin;ExpStorMed;ExpStorMax;GBMkghunner;GBMmin;GBMmax;StamAntSmaHo;StamAntMelHo;StamAntStorHo;Nsport;ProsOpp;OppdrMaalt;Gjen_ant_u3kg;Gjen_ant_o3u7kg;Gjen_ant_o7kg;Gjen_ant;Gjen_vekt_u3kg;Gjen_vekt_o3u7kg;Gjen_vekto7kg;Gjen_vekt;PrHuSmall_Gjenut;PrHuMellom_Gjenut;PrHuStor_Gjenut;FangstAndSmallMin;FangstAndSmallMed;FangstAndSmallMax;FangstAndMellomMin;FangstAndMellomMed;FangstAndMellomMax;FangstAndStorMin;FangstAndStorMed;FangstAndStorMax;Obs_laks_ant_u3kg;Obs_laks_ant_o3u7kg;Obs_laks_ant_o7kg;Obs_laks_ant;Probs_small_med;Probs_small_min;Probs_small_max;Probs_mellom_med;Probs_mellom_min;Probs_mellom_max;Probs_stor_med;Probs_stor_min;Probs_stor_max;Simulering;InklNormal
201073;107.3Z;Sylteelva_Moaelva;x;MR;Frøya;1993;219;21;0;240;315;85;0;400;0.55;0.7;0.55;0.4;0.6;0.7;0.2;0.4;0.6;0.1;0.3;0.5;405.737931;304.3034483;507.1724138;0;0;0;NA;2.03;NA;0;0;0;0;0;0;0;0;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
201073;107.3Z;Sylteelva_Moaelva;x;MR;Frøya;1994;292;7;3;302;380;26;25;431;0.55;0.7;0.55;0.4;0.6;0.7;0.2;0.4;0.6;0.1;0.3;0.5;405.737931;304.3034483;507.1724138;0;0;0;NA;4;NA;0;0;0;0;0;0;0;0;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
201073;107.3Z;Sylteelva_Moaelva;x;MR;Frøya;1995;469;36;1;506;634;140;8;782;0.55;0.7;0.55;0.4;0.6;0.7;0.2;0.4;0.6;0.1;0.3;0.5;405.737931;304.3034483;507.1724138;0;0;0;NA;4;NA;0;0;0;0;0;0;0;0;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
201073;107.3Z;Sylteelva_Moaelva;x;MR;Frøya;1996;277;20;1;298;362;90;9;461;0.55;0.7;0.55;0.4;0.6;0.7;0.2;0.4;0.6;0.1;0.3;0.5;405.737931;304.3034483;507.1724138;0;0;0;NA;8;NA;0;0;0;0;0;0;0;0;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
201073;107.3Z;Sylteelva_Moaelva;x;MR;Frøya;1997;89;5;0;94;114;22;0;136;0.55;0.7;0.55;0.552941176;0.631932773;0.789915966;0.552941176;0.631932773;0.789915966;0.552941176;0.631932773;0.789915966;405.737931;304.3034483;507.1724138;0;0;0;NA;13;NA;0;0;0;0;0;0;0;0;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
201073;107.3Z;Sylteelva_Moaelva;x;MR;Frøya;1998;461;14;3;478;602;61;27;690;0.55;0.7;0.55;0.605063291;0.691500904;0.86437613;0.605063291;0.691500904;0.86437613;0.605063291;0.691500904;0.86437613;405.737931;304.3034483;507.1724138;0;0;0;NA;10;NA;0;0;0;0;0;0;0;0;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
201073;107.3Z;Sylteelva_Moaelva;x;MR;Frøya;1999;351;8;0;359;501;34;0;535;0.55;0.7;0.55;0.415371901;0.474710744;0.59338843;0.415371901;0.474710744;0.59338843;0.415371901;0.474710744;0.59338843;405.737931;304.3034483;507.1724138;0;0;0;NA;2;NA;0;0;0;0;0;0;0;0;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
201073;107.3Z;Sylteelva_Moaelva;x;MR;Frøya;2000;1048;74;0;1122;1677;297;0;1974;0.55;0.7;0.55;0.462;0.528;0.66;0.462;0.528;0.66;0.462;0.528;0.66;405.737931;304.3034483;507.1724138;0;0;0;NA;1;NA;0;0;0;0;0;0;0;0;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
201073;107.3Z;Sylteelva_Moaelva;x;MR;Frøya;2001;430;43;2;475;624;183;16;823;0.55;0.7;0.55;0.457988981;0.523415978;0.654269972;0.457988981;0.523415978;0.654269972;0.457988981;0.523415978;0.654269972;405.737931;304.3034483;507.1724138;0;0;0;NA;3;NA;0;0;0;0;0;0;0;0;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
201073;107.3Z;Sylteelva_Moaelva;x;MR;Frøya;2002;103;16;4;123;124;74;32;230;0.55;0.7;0.55;0.239166667;0.273333333;0.341666667;0.239166667;0.273333333;0.341666667;0.239166667;0.273333333;0.341666667;405.737931;304.3034483;507.1724138;0;0;0;NA;2;NA;0;0;0;0;0;0;0;0;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
