Lregnr;Vdrnr;Vassdrag;Vassdrag2;Fylke;Kommune;Aar;Laks_ant_u3kg;Laks_ant_o3u7kg;Laks_ant_o7kg;Laks_ant;Laks_vekt_u3kg;Laks_vekt_o3u7kg;Laks_vekt_o7kg;Laks_vekt;PrHuSmall;PrHuMellom;PrHuStor;ExpSmallMin;ExpSmallMed;ExpSmallMax;ExpMellomMin;ExpMellomMed;ExpMellomMax;ExpStorMin;ExpStorMed;ExpStorMax;GBMkghunner;GBMmin;GBMmax;StamAntSmaHo;StamAntMelHo;StamAntStorHo;Nsport;ProsOpp;OppdrMaalt;Gjen_ant_u3kg;Gjen_ant_o3u7kg;Gjen_ant_o7kg;Gjen_ant;Gjen_vekt_u3kg;Gjen_vekt_o3u7kg;Gjen_vekto7kg;Gjen_vekt;PrHuSmall_Gjenut;PrHuMellom_Gjenut;PrHuStor_Gjenut;FangstAndSmallMin;FangstAndSmallMed;FangstAndSmallMax;FangstAndMellomMin;FangstAndMellomMed;FangstAndMellomMax;FangstAndStorMin;FangstAndStorMed;FangstAndStorMax;Obs_laks_ant_u3kg;Obs_laks_ant_o3u7kg;Obs_laks_ant_o7kg;Obs_laks_ant;Probs_small_med;Probs_small_min;Probs_small_max;Probs_mellom_med;Probs_mellom_min;Probs_mellom_max;Probs_stor_med;Probs_stor_min;Probs_stor_max
200111;111.Z;Toåa;To?;MR;Surnadal;1993;36;6;0;42;62;34;0;96;0.55;0.7;0.55;0.5;0.55;0.7;0.3;0.4;0.6;0.2;0.3;0.45;425.9724138;319.4793103;638.9586207;;;;;7.35;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200111;111.Z;Toåa;To?;MR;Surnadal;1994;124;11;1;136;236;49;7;292;0.55;0.7;0.55;0.5;0.55;0.7;0.3;0.4;0.6;0.2;0.3;0.45;425.9724138;319.4793103;638.9586207;;;;;5.32;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200111;111.Z;Toåa;To?;MR;Surnadal;1995;48;37;8;93;85;173;59;317;0.55;0.7;0.55;0.5;0.55;0.7;0.3;0.4;0.6;0.2;0.3;0.45;425.9724138;319.4793103;638.9586207;;;;;6.23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200111;111.Z;Toåa;To?;MR;Surnadal;1996;39;7;5;51;56;31;44;131;0.55;0.7;0.55;0.5;0.55;0.7;0.3;0.4;0.6;0.2;0.3;0.45;425.9724138;319.4793103;638.9586207;;;;;7.35;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200111;111.Z;Toåa;To?;MR;Surnadal;1997;45;22;2;69;75;84;16;175;0.55;0.7;0.55;0.5;0.55;0.7;0.3;0.4;0.6;0.2;0.3;0.45;425.9724138;319.4793103;638.9586207;;;;;10.01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200111;111.Z;Toåa;To?;MR;Surnadal;1998;48;21;1;70;78;87;8;173;0.55;0.7;0.55;0.5;0.55;0.7;0.3;0.4;0.6;0.2;0.3;0.45;425.9724138;319.4793103;638.9586207;;;;;14.98;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200111;111.Z;Toåa;To?;MR;Surnadal;1999;42;9;1;52;69;38;8;115;0.55;0.7;0.55;0.5;0.55;0.7;0.3;0.4;0.6;0.2;0.3;0.45;425.9724138;319.4793103;638.9586207;;;;;6.02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200111;111.Z;Toåa;To?;MR;Surnadal;2000;44;30;3;77;85;136;24;245;0.55;0.7;0.55;0.5;0.55;0.7;0.3;0.4;0.6;0.2;0.3;0.45;425.9724138;319.4793103;638.9586207;;;;;7.14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200111;111.Z;Toåa;To?;MR;Surnadal;2001;159;19;1;179;334;86;8;428;0.55;0.7;0.55;0.5;0.55;0.7;0.3;0.4;0.6;0.2;0.3;0.45;425.9724138;319.4793103;638.9586207;;;;;8.26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200111;111.Z;Toåa;To?;MR;Surnadal;2002;46;26;5;77;78;141;38;258;0.55;0.7;0.55;0.5;0.55;0.7;0.3;0.4;0.6;0.2;0.3;0.45;425.9724138;319.4793103;638.9586207;;;;;10.64;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
