Lregnr;Vdrnr;Vassdrag;Vassdrag2;Fylke;Kommune;Aar;Laks_ant_u3kg;Laks_ant_o3u7kg;Laks_ant_o7kg;Laks_ant;Laks_vekt_u3kg;Laks_vekt_o3u7kg;Laks_vekt_o7kg;Laks_vekt;PrHuSmall;PrHuMellom;PrHuStor;ExpSmallMin;ExpSmallMed;ExpSmallMax;ExpMellomMin;ExpMellomMed;ExpMellomMax;ExpStorMin;ExpStorMed;ExpStorMax;GBMkghunner;GBMmin;GBMmax;StamAntSmaHo;StamAntMelHo;StamAntStorHo;Nsport;ProsOpp;OppdrMaalt;Gjen_ant_u3kg;Gjen_ant_o3u7kg;Gjen_ant_o7kg;Gjen_ant;Gjen_vekt_u3kg;Gjen_vekt_o3u7kg;Gjen_vekto7kg;Gjen_vekt;PrHuSmall_Gjenut;PrHuMellom_Gjenut;PrHuStor_Gjenut;FangstAndSmallMin;FangstAndSmallMed;FangstAndSmallMax;FangstAndMellomMin;FangstAndMellomMed;FangstAndMellomMax;FangstAndStorMin;FangstAndStorMed;FangstAndStorMax;Obs_laks_ant_u3kg;Obs_laks_ant_o3u7kg;Obs_laks_ant_o7kg;Obs_laks_ant;Probs_small_med;Probs_small_min;Probs_small_max;Probs_mellom_med;Probs_mellom_min;Probs_mellom_max;Probs_stor_med;Probs_stor_min;Probs_stor_max;Simulering;InklNormal
200035;035.Z;Ulla;Valdeelven;Rogaland;Hjelmeland;1993;0;44;0;44;0;153;0;153;0.3;0.7;0.55;0.4;0.6;0.7;0.2;0.4;0.6;0.1;0.3;0.5;177.5034483;133.1275862;266.2551724;NA;NA;NA;NA;5.32;NA;0;0;0;0;0;0;0;0;0.3;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
200035;035.Z;Ulla;Valdeelven;Rogaland;Hjelmeland;1994;72;8;1;81;169;42;13;224;0.3;0.7;0.55;0.4;0.6;0.7;0.2;0.4;0.6;0.1;0.3;0.5;177.5034483;133.1275862;221.8793104;NA;NA;NA;NA;6.23;NA;0;0;0;0;0;0;0;0;0.3;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
200035;035.Z;Ulla;Valdeelven;Rogaland;Hjelmeland;1995;16;4;0;20;31;25;0;56;0.3;0.7;0.55;0.4;0.6;0.7;0.2;0.4;0.6;0.1;0.3;0.5;177.5034483;133.1275862;221.8793104;NA;NA;NA;NA;7.35;NA;0;0;0;0;0;0;0;0;0.3;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
200035;035.Z;Ulla;Valdeelven;Rogaland;Hjelmeland;1996;10;13;2;25;15;62;22;99;0.3;0.7;0.55;0.4;0.6;0.7;0.2;0.4;0.6;0.1;0.3;0.5;177.5034483;133.1275862;221.8793104;NA;NA;NA;NA;10.01;NA;0;0;0;0;0;0;0;0;0.3;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
200035;035.Z;Ulla;Valdeelven;Rogaland;Hjelmeland;1997;25;7;1;33;46;29;8;83;0.3;0.7;0.55;0.4;0.6;0.7;0.2;0.4;0.6;0.1;0.3;0.5;177.5034483;133.1275862;221.8793104;NA;NA;NA;NA;14.98;NA;0;0;0;0;0;0;0;0;0.3;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
200035;035.Z;Ulla;Valdeelven;Rogaland;Hjelmeland;1998;12;55;8;75;21;282;64;367;0.3;0.7;0.55;0.4;0.6;0.7;0.2;0.4;0.6;0.1;0.3;0.5;177.5034483;133.1275862;221.8793104;NA;NA;NA;NA;6.02;NA;0;0;0;0;0;0;0;0;0.3;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
200035;035.Z;Ulla;Valdeelven;Rogaland;Hjelmeland;1999;110;2;7;119;202;12;69;283;0.3;0.7;0.55;0.4;0.6;0.7;0.2;0.4;0.6;0.1;0.3;0.5;177.5034483;133.1275862;221.8793104;NA;NA;NA;NA;7.14;NA;0;0;0;0;0;0;0;0;0.3;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
200035;035.Z;Ulla;Valdeelven;Rogaland;Hjelmeland;2000;97;59;11;167;219;297;97;613;0.3;0.7;0.55;0.4;0.6;0.7;0.2;0.4;0.6;0.1;0.3;0.5;177.5034483;133.1275862;221.8793104;NA;NA;NA;NA;8.26;NA;0;0;0;0;0;0;0;0;0.3;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
200035;035.Z;Ulla;Valdeelven;Rogaland;Hjelmeland;2001;48;63;7;118;112;292;60;464;0.3;0.7;0.55;0.4;0.6;0.7;0.2;0.4;0.6;0.1;0.3;0.5;177.5034483;133.1275862;221.8793104;NA;NA;NA;NA;10.64;NA;0;0;0;0;0;0;0;0;0.3;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
200035;035.Z;Ulla;Valdeelven;Rogaland;Hjelmeland;2002;63;27;7;97;117;147;64;328;0.3;0.7;0.55;0.4;0.6;0.7;0.2;0.4;0.6;0.1;0.3;0.5;177.5034483;133.1275862;221.8793104;NA;NA;NA;NA;7.07;NA;0;0;0;0;0;0;0;0;0.3;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
200035;035.Z;Ulla;Valdeelven;Rogaland;Hjelmeland;2003;162;60;10;232;339;286;84;709;0.3;0.7;0.55;0.4;0.6;0.7;0.2;0.4;0.6;0.1;0.3;0.5;177.5034483;133.1275862;221.8793104;NA;NA;NA;NA;4.9;NA;0;0;0;0;0;0;0;0;0.3;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
200035;035.Z;Ulla;Valdeelven;Rogaland;Hjelmeland;2004;55;37;11;103;102;157;90;349;0.3;0.7;0.55;0.4;0.6;0.7;0.2;0.4;0.6;0.1;0.3;0.5;177.5034483;133.1275862;221.8793104;NA;NA;NA;NA;6.51;NA;0;0;0;0;0;0;0;0;0.3;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
200035;035.Z;Ulla;Valdeelven;Rogaland;Hjelmeland;2005;177;35;7;219;355;172;75;602;0.3;0.7;0.55;0.4;0.6;0.7;0.2;0.4;0.6;0.1;0.3;0.5;177.5034483;133.1275862;221.8793104;0;4;2;NA;5.3;NA;0;0;0;0;0;0;0;0;0.3;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
200035;035.Z;Ulla;Valdeelven;Rogaland;Hjelmeland;2006;37;29;3;69;75;138;28;241;0.3;0.7;0.55;0.4;0.6;0.7;0.2;0.4;0.6;0.1;0.3;0.5;177.5034483;133.1275862;221.8793104;0;3;2;NA;10.4;NA;0;0;0;0;0;0;0;0;0.3;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
200035;035.Z;Ulla;Valdeelven;Rogaland;Hjelmeland;2007;29;97;12;138;57;445;101;603;0.3;0.7;0.55;0.4;0.6;0.7;0.2;0.4;0.6;0.1;0.3;0.5;177.5034483;133.1275862;221.8793104;0;3;1;NA;9.38;NA;0;0;0;0;0;0;0;0;0.3;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
200035;035.Z;Ulla;Valdeelven;Rogaland;Hjelmeland;2008;24;66;21;111;62;276;182;520;0.3;0.7;0.55;0.3;0.5;0.6;0.1;0.3;0.5;0.05;0.2;0.3;177.5034483;133.1275862;221.8793104;0;2;2;NA;6.09;NA;0;0;0;0;0;0;0;0;0.3;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
200035;035.Z;Ulla;Valdeelven;Rogaland;Hjelmeland;2009;44;38;18;100;71.3;192.6;154;417.9;0.3;0.7;0.55;0.3;0.5;0.6;0.1;0.3;0.5;0.05;0.2;0.3;177.5034483;133.1275862;221.8793104;0;0;0;NA;6.3;NA;0;0;0;0;0;0;0;0;0.3;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
200035;035.Z;Ulla;Valdeelven;Rogaland;Hjelmeland;2010;30;47;5;82;63.5;190.4;41.5;295.4;0.3;0.7;0.55;0.3;0.5;0.6;0.1;0.3;0.5;0.05;0.2;0.3;177.5034483;133.1275862;221.8793104;1;4;0;NA;6.3;NA;0;0;0;0;0;0;0;0;0.3;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
200035;035.Z;Ulla;Valdeelven;Rogaland;Hjelmeland;2011;21;38;16;75;41.8;183.2;140.7;365.7;0.3;0.7;0.55;0.079696395;0.088774072;0.097674419;0.09517846;0.105816832;0.116207951;0.132231405;0.146341463;0.16;177.5034483;133.1275862;221.8793104;0;5;2;NA;6.3;NA;0;0;0;0;0;0;0;0;0.3;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
200035;035.Z;Ulla;Valdeelven;Rogaland;Hjelmeland;2012;41;59;17;117;83.7;269.8;142.4;495.9;0.3;0.7;0.55;0.148550725;0.164072921;0.179039301;0.140811456;0.155672823;0.170028818;0.139344262;0.15407855;0.168316832;177.5034483;133.1275862;221.8793104;0;5;2;NA;6.3;NA;0;0;0;0;0;0;0;0;0.3;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
200035;035.Z;Ulla;Valdeelven;Rogaland;Hjelmeland;2013;43;60;3;106;88.2;302.6;28.2;419;0.3;0.7;0.55;0.190687361;0.209528966;0.227513228;0.172043011;0.189473684;0.206185567;0.0433213;0.048473968;0.053571429;177.5034483;133.1275862;221.8793104;0;7;2;NA;6.3;NA;0;0;0;0;0;0;0;0;0.3;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
200035;035.Z;Ulla;Valdeelven;Rogaland;Hjelmeland;2014;17;17;3;37;34;67.6;24.4;126;0.3;0.7;0.55;0.110929853;0.1230893;0.134920635;0.081632653;0.090909091;0.1;0.033613445;0.037656904;0.041666667;177.5034483;133.1275862;221.8793104;0;4;3;NA;6.3;NA;1;0;1;2;2;0;8;10;0.3;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
200035;035.Z;Ulla;Valdeelven;Rogaland;Hjelmeland;2015;68;67;13;148;135;296;122;553;0.3;0.7;0.55;0.393063584;0.421487603;0.447368421;0.271255061;0.295154185;0.317535545;0.169381107;0.186602871;0.203125;177.5034483;133.1275862;221.8793104;0;0;0;62;1.6;1;1;1;1;3;2;5;14;21;0.3;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
200035;035.Z;Ulla;Valdeelven;Rogaland;Hjelmeland;2016;69;104;9;182;117.6;449.1;71.7;638.4;0.3;0.7;0.55;0.550898204;0.579831933;0.605263158;0.366197183;0.393939394;0.419354839;0.170616114;0.187935035;0.204545455;177.5034483;133.1275862;221.8793104;0;0;0;94;2.1;1;1;0;0;1;2;0;0;2;0.3;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
200035;035.Z;Ulla;Valdeelven;Rogaland;Hjelmeland;2017;19;51;11;81;31;256;85;372;0.3;0.7;0.55;0.06546081;0.073045707;0.080508475;0.159499609;0.175929475;0.191729323;0.16988417;0.187145558;0.203703704;177.5034483;133.1275862;221.8793104;0;2;4;98;0;1;0;0;0;0;0;0;0;0;0.3;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
200035;035.Z;Ulla;Valdeelven;Rogaland;Hjelmeland;2018;20;59;15;94;42;268;125;435;0.3;0.7;0.55;0.102564103;0.113924051;0.125;0.103690685;0.115159401;0.12633833;0.12244898;0.135678392;0.148514851;177.5034483;133.1275862;221.8793104;0;8;0;66;1.52;1;0;0;0;0;0;0;0;0;0.3;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
200035;035.Z;Ulla;Valdeelven;Rogaland;Hjelmeland;2019;41;72;13;126;56.9;350.4;125.8;533.1;0.3;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;177.5034483;133.1275862;221.8793104;0;4;0;68;0;1;0;0;0;0;0;0;0;0;0.3;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;50;130;26;206;0.9;0.8;0.95;0.9;0.8;0.95;0.9;0.8;0.95;1;1
200035;035.Z;Ulla;Valdeelven;Rogaland;Hjelmeland;2020;65;102;22;189;111.6;478.3;176.5;766.4;0.3;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;177.5034483;133.1275862;221.8793104;1;2;1;121;1.653;1;0;0;0;0;0;0;0;0;0.3;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;65;88;26;179;0.9;0.8;0.95;0.9;0.8;0.95;0.9;0.8;0.95;1;1
200035;035.Z;Ulla;Valdeelven;Rogaland;Hjelmeland;2021;20;41;3;64;37.3;183.3;33.1;253.7;0.3;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;177.5034483;133.1275862;221.8793104;0;7;0;28;0;1;1;0;0;1;1;0;0;1;0.3;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;108;159;42;309;0.9;0.8;0.95;0.9;0.8;0.95;0.9;0.8;0.95;1;1
200035;035.Z;Ulla;Valdeelven;Rogaland;Hjelmeland;2022;23;39;7;69;42;176.5;57.2;275.7;0.3;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;177.5034483;133.1275862;221.8793104;0;0;0;32;0;1;0;0;0;0;0;0;0;0;0.3;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;192;153;37;382;0.9;0.8;0.95;0.9;0.8;0.95;0.9;0.8;0.95;1;1
200035;035.Z;Ulla;Valdeelven;Rogaland;Hjelmeland;2023;31;28;5;64;51;125.2;40.4;216.6;0.3;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;177.5034483;133.1275862;221.8793104;0;0;0;NA;0;NA;0;1;0;1;0;4.7;0;4.7;0.3;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;130;132;23;285;0.9;0.8;0.95;0.9;0.8;0.95;0.9;0.8;0.95;1;1
