Lregnr;Vdrnr;Vassdrag;Vassdrag2;Fylke;Kommune;Aar;Laks_ant_u3kg;Laks_ant_o3u7kg;Laks_ant_o7kg;Laks_ant;Laks_vekt_u3kg;Laks_vekt_o3u7kg;Laks_vekt_o7kg;Laks_vekt;PrHuSmall;PrHuMellom;PrHuStor;ExpSmallMin;ExpSmallMed;ExpSmallMax;ExpMellomMin;ExpMellomMed;ExpMellomMax;ExpStorMin;ExpStorMed;ExpStorMax;GBMkghunner;GBMmin;GBMmax;StamAntSmaHo;StamAntMelHo;StamAntStorHo;Nsport;ProsOpp;OppdrMaalt;Gjen_ant_u3kg;Gjen_ant_o3u7kg;Gjen_ant_o7kg;Gjen_ant;Gjen_vekt_u3kg;Gjen_vekt_o3u7kg;Gjen_vekto7kg;Gjen_vekt;PrHuSmall_Gjenut;PrHuMellom_Gjenut;PrHuStor_Gjenut;FangstAndSmallMin;FangstAndSmallMed;FangstAndSmallMax;FangstAndMellomMin;FangstAndMellomMed;FangstAndMellomMax;FangstAndStorMin;FangstAndStorMed;FangstAndStorMax;Obs_laks_ant_u3kg;Obs_laks_ant_o3u7kg;Obs_laks_ant_o7kg;Obs_laks_ant;Probs_small_med;Probs_small_min;Probs_small_max;Probs_mellom_med;Probs_mellom_min;Probs_mellom_max;Probs_stor_med;Probs_stor_min;Probs_stor_max
201082;108.2Z;Vågsbøelva;Sagelva;MR;Eide;1993;0;0;0;0;0;0;0;0;0.55;0.7;0.55;0.4;0.6;0.7;0.2;0.4;0.6;0.1;0.3;0.5;343.5241379;258;457;0;0;0;;7.35;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
201082;108.2Z;Vågsbøelva;Sagelva;MR;Eide;1994;300;2;2;304;398;8;16;422;0.55;0.7;0.55;0.4;0.6;0.7;0.2;0.4;0.6;0.1;0.3;0.5;343.5241379;258;457;0;0;0;;5.32;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
201082;108.2Z;Vågsbøelva;Sagelva;MR;Eide;1995;275;3;1;279;410;13;8;431;0.55;0.7;0.55;0.4;0.6;0.7;0.2;0.4;0.6;0.1;0.3;0.5;343.5241379;258;457;0;0;0;;6.23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
201082;108.2Z;Vågsbøelva;Sagelva;MR;Eide;1996;0;0;0;0;0;0;0;0;0.55;0.7;0.55;0.4;0.6;0.7;0.2;0.4;0.6;0.1;0.3;0.5;343.5241379;258;457;0;0;0;;7.35;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
201082;108.2Z;Vågsbøelva;Sagelva;MR;Eide;1997;0;0;0;0;0;0;0;0;0.55;0.7;0.55;0.4;0.6;0.7;0.2;0.4;0.6;0.1;0.3;0.5;343.5241379;258;457;0;0;0;;10.01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
201082;108.2Z;Vågsbøelva;Sagelva;MR;Eide;1998;138;8;0;146;235;36;0;271;0.55;0.7;0.55;0.4;0.6;0.7;0.2;0.4;0.6;0.1;0.3;0.5;343.5241379;258;457;0;0;0;;14.98;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
201082;108.2Z;Vågsbøelva;Sagelva;MR;Eide;1999;284;9;0;293;468;39;0;507;0.55;0.7;0.55;0.4;0.6;0.7;0.2;0.4;0.6;0.1;0.3;0.5;343.5241379;258;457;0;0;0;;6.02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
201082;108.2Z;Vågsbøelva;Sagelva;MR;Eide;2000;344;15;0;359;678;58;0;736;0.55;0.7;0.55;0.4;0.6;0.7;0.2;0.4;0.6;0.1;0.3;0.5;343.5241379;258;457;0;0;0;;7.14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
201082;108.2Z;Vågsbøelva;Sagelva;MR;Eide;2001;257;16;0;273;417;68;0;484;0.55;0.7;0.55;0.4;0.6;0.7;0.2;0.4;0.6;0.1;0.3;0.5;343.5241379;258;457;0;0;0;;8.26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
201082;108.2Z;Vågsbøelva;Sagelva;MR;Eide;2002;0;0;0;0;0;0;0;0;0.55;0.7;0.55;0.4;0.6;0.7;0.2;0.4;0.6;0.1;0.3;0.5;343.5241379;258;457;0;0;0;;10.64;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
