"Lregnr";"Vdrnr";"Vassdrag";"Vassdrag2";"Fylke";"Kommune";"Aar";"Laks_ant_u3kg";"Laks_ant_o3u7kg";"Laks_ant_o7kg";"Laks_ant";"Laks_vekt_u3kg";"Laks_vekt_o3u7kg";"Laks_vekt_o7kg";"Laks_vekt";"PrHuSmall";"PrHuMellom";"PrHuStor";"ExpSmallMin";"ExpSmallMed";"ExpSmallMax";"ExpMellomMin";"ExpMellomMed";"ExpMellomMax";"ExpStorMin";"ExpStorMed";"ExpStorMax";"GBMkghunner";"GBMmin";"GBMmax";"StamAntSmaHo";"StamAntMelHo";"StamAntStorHo";"Nsport";"ProsOpp";"OppdrMaalt";"Gjen_ant_u3kg";"Gjen_ant_o3u7kg";"Gjen_ant_o7kg";"Gjen_ant";"Gjen_vekt_u3kg";"Gjen_vekt_o3u7kg";"Gjen_vekto7kg";"Gjen_vekt";"PrHuSmall_Gjenut";"PrHuMellom_Gjenut";"PrHuStor_Gjenut";"FangstAndSmallMin";"FangstAndSmallMed";"FangstAndSmallMax";"FangstAndMellomMin";"FangstAndMellomMed";"FangstAndMellomMax";"FangstAndStorMin";"FangstAndStorMed";"FangstAndStorMax";"Obs_laks_ant_u3kg";"Obs_laks_ant_o3u7kg";"Obs_laks_ant_o7kg";"Obs_laks_ant";"Probs_small_med";"Probs_small_min";"Probs_small_max";"Probs_mellom_med";"Probs_mellom_min";"Probs_mellom_max";"Probs_stor_med";"Probs_stor_min";"Probs_stor_max"
200977;"097.7Z";"Velledalselva";"Fetvassdraget";"MR";"Sykkylven";1993;110;68;2;180;198;272;15;485;0.55;0.7;0.55;0.4;0.6;0.7;0.2;0.4;0.6;0.1;0.3;0.5;484.2758621;363.2068966;605.3448276;NA;NA;NA;NA;8.4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
200977;"097.7Z";"Velledalselva";"Fetvassdraget";"MR";"Sykkylven";1994;1525;65;66;1656;2540;373;660;3573;0.55;0.7;0.55;0.4;0.6;0.7;0.2;0.4;0.6;0.1;0.3;0.5;484.2758621;363.2068966;605.3448276;NA;NA;NA;NA;6.08;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
200977;"097.7Z";"Velledalselva";"Fetvassdraget";"MR";"Sykkylven";1995;493;70;1;564;784;340;9;1133;0.55;0.7;0.55;0.4;0.6;0.7;0.2;0.4;0.6;0.1;0.3;0.5;484.2758621;363.2068966;605.3448276;NA;NA;NA;NA;7.12;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
200977;"097.7Z";"Velledalselva";"Fetvassdraget";"MR";"Sykkylven";1996;202;89;10;301;299;410;88;797;0.55;0.7;0.55;0.4;0.6;0.7;0.2;0.4;0.6;0.1;0.3;0.5;484.2758621;363.2068966;605.3448276;NA;NA;NA;NA;8.4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
200977;"097.7Z";"Velledalselva";"Fetvassdraget";"MR";"Sykkylven";1997;252;136;3;391;404;622;28;1054;0.55;0.7;0.55;0.4;0.6;0.7;0.2;0.4;0.6;0.1;0.3;0.5;484.2758621;363.2068966;605.3448276;NA;NA;NA;NA;11.44;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
200977;"097.7Z";"Velledalselva";"Fetvassdraget";"MR";"Sykkylven";1998;365;84;3;452;549;384;27;960;0.55;0.7;0.55;0.4;0.6;0.7;0.2;0.4;0.6;0.1;0.3;0.5;484.2758621;363.2068966;605.3448276;NA;NA;NA;NA;17.12;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
200977;"097.7Z";"Velledalselva";"Fetvassdraget";"MR";"Sykkylven";1999;583;98;3;684;938;423;27;1388;0.55;0.7;0.55;0.4;0.6;0.7;0.2;0.4;0.6;0.1;0.3;0.5;484.2758621;363.2068966;605.3448276;NA;NA;NA;NA;6.88;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
200977;"097.7Z";"Velledalselva";"Fetvassdraget";"MR";"Sykkylven";2000;664;168;0;832;1236;686;0;1922;0.55;0.7;0.55;0.4;0.6;0.7;0.2;0.4;0.6;0.1;0.3;0.5;484.2758621;363.2068966;605.3448276;NA;NA;NA;NA;8.16;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
200977;"097.7Z";"Velledalselva";"Fetvassdraget";"MR";"Sykkylven";2001;579;120;8;707;1029;544;69;1642;0.55;0.7;0.55;0.4;0.6;0.7;0.2;0.4;0.6;0.1;0.3;0.5;484.2758621;363.2068966;605.3448276;NA;NA;NA;NA;9.44;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
200977;"097.7Z";"Velledalselva";"Fetvassdraget";"MR";"Sykkylven";2002;496;226;77;799;770;990;560;2321;0.55;0.7;0.55;0.4;0.6;0.7;0.2;0.4;0.6;0.1;0.3;0.5;484.2758621;363.2068966;605.3448276;NA;NA;NA;NA;12.16;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
