Lregnr;Vdrnr;Vassdrag;Vassdrag2;Fylke;Kommune;Aar;Laks_ant_u3kg;Laks_ant_o3u7kg;Laks_ant_o7kg;Laks_ant;Laks_vekt_u3kg;Laks_vekt_o3u7kg;Laks_vekt_o7kg;Laks_vekt;PrHuSmall;PrHuMellom;PrHuStor;ExpSmallMin;ExpSmallMed;ExpSmallMax;ExpMellomMin;ExpMellomMed;ExpMellomMax;ExpStorMin;ExpStorMed;ExpStorMax;GBMkghunner;GBMmin;GBMmax;StamAntSmaHo;StamAntMelHo;StamAntStorHo;Nsport;ProsOpp;OppdrMaalt;Gjen_ant_u3kg;Gjen_ant_o3u7kg;Gjen_ant_o7kg;Gjen_ant;Gjen_vekt_u3kg;Gjen_vekt_o3u7kg;Gjen_vekto7kg;Gjen_vekt;PrHuSmall_Gjenut;PrHuMellom_Gjenut;PrHuStor_Gjenut;FangstAndSmallMin;FangstAndSmallMed;FangstAndSmallMax;FangstAndMellomMin;FangstAndMellomMed;FangstAndMellomMax;FangstAndStorMin;FangstAndStorMed;FangstAndStorMax;Obs_laks_ant_u3kg;Obs_laks_ant_o3u7kg;Obs_laks_ant_o7kg;Obs_laks_ant;Probs_small_med;Probs_small_min;Probs_small_max;Probs_mellom_med;Probs_mellom_min;Probs_mellom_max;Probs_stor_med;Probs_stor_min;Probs_stor_max;Simulering;InklNormal
200127;127.Z;Verdalsvassdraget;x;Trøndelag;Verdal;1993;669;172;188;1029;1154;867;1674;3695;0.4;0.7;0.55;0.3;0.35;0.55;0.3;0.35;0.45;0.2;0.3;0.45;4016.493103;3012.369828;6024.739655;NA;NA;NA;NA;0.21;NA;0;0;0;0;0;0;0;0;0.4;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
200127;127.Z;Verdalsvassdraget;x;Trøndelag;Verdal;1994;1176;197;141;1514;2141;941;1263;4345;0.4;0.7;0.55;0.3;0.35;0.55;0.3;0.35;0.45;0.2;0.3;0.45;4016.493103;3012.369828;5020.616378;NA;NA;NA;NA;0.26;NA;0;0;0;0;0;0;0;0;0.4;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
200127;127.Z;Verdalsvassdraget;x;Trøndelag;Verdal;1995;423;258;151;832;789;1328;1332;3449;0.4;0.7;0.55;0.3;0.35;0.55;0.3;0.35;0.45;0.2;0.3;0.45;4016.493103;3012.369828;5020.616378;NA;NA;NA;NA;0.69;NA;0;0;0;0;0;0;0;0;0.4;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
200127;127.Z;Verdalsvassdraget;x;Trøndelag;Verdal;1996;288;125;153;566;518;628;1412;2558;0.4;0.7;0.55;0.3;0.35;0.55;0.3;0.35;0.45;0.2;0.3;0.45;4016.493103;3012.369828;5020.616378;NA;NA;NA;NA;1.4;NA;0;0;0;0;0;0;0;0;0.4;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
200127;127.Z;Verdalsvassdraget;x;Trøndelag;Verdal;1997;371;175;72;618;696;819;652;2167;0.4;0.7;0.55;0.3;0.35;0.55;0.3;0.35;0.45;0.2;0.3;0.45;4016.493103;3012.369828;5020.616378;NA;NA;NA;NA;2.01;NA;0;0;0;0;0;0;0;0;0.4;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
200127;127.Z;Verdalsvassdraget;x;Trøndelag;Verdal;1998;1431;243;66;1740;2471;1122;476;4069;0.4;0.7;0.55;0.3;0.35;0.55;0.3;0.35;0.45;0.2;0.3;0.45;4016.493103;3012.369828;5020.616378;NA;NA;NA;NA;0.96;NA;0;0;0;0;0;0;0;0;0.4;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
200127;127.Z;Verdalsvassdraget;x;Trøndelag;Verdal;1999;1242;816;130;2188;2340;3992;996;7328;0.4;0.7;0.55;0.3;0.35;0.55;0.3;0.35;0.45;0.2;0.3;0.45;4016.493103;3012.369828;5020.616378;NA;NA;NA;NA;0;NA;0;0;0;0;0;0;0;0;0.4;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
200127;127.Z;Verdalsvassdraget;x;Trøndelag;Verdal;2000;1738;854;389;2981;3579;4162;3376;11117;0.4;0.7;0.55;0.3;0.35;0.55;0.3;0.35;0.45;0.2;0.3;0.45;4016.493103;3012.369828;5020.616378;NA;NA;NA;NA;0.41;NA;0;0;0;0;0;0;0;0;0.4;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
200127;127.Z;Verdalsvassdraget;x;Trøndelag;Verdal;2001;677;518;126;1321;1113;2576;1106;4795;0.4;0.7;0.55;0.3;0.35;0.55;0.3;0.35;0.45;0.2;0.3;0.45;4016.493103;3012.369828;5020.616378;NA;NA;NA;NA;0;NA;0;0;0;0;0;0;0;0;0.4;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
200127;127.Z;Verdalsvassdraget;x;Trøndelag;Verdal;2002;369;103;51;523;630;547;452;1627;0.4;0.7;0.55;0.3;0.35;0.55;0.3;0.35;0.45;0.2;0.3;0.45;4016.493103;3012.369828;5020.616378;NA;NA;NA;NA;0.41;NA;0;0;0;0;0;0;0;0;0.4;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
200127;127.Z;Verdalsvassdraget;x;Trøndelag;Verdal;2003;1417;390;149;1956;2667;1832;1334;5832;0.4;0.7;0.55;0.3;0.35;0.55;0.3;0.35;0.45;0.2;0.3;0.45;4016.493103;3012.369828;5020.616378;NA;NA;NA;NA;0.39;NA;0;0;0;0;0;0;0;0;0.4;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
200127;127.Z;Verdalsvassdraget;x;Trøndelag;Verdal;2004;323;445;153;921;581;2433;1382;4396;0.4;0.7;0.55;0.3;0.35;0.55;0.3;0.35;0.45;0.2;0.3;0.45;4016.493103;3012.369828;5020.616378;NA;NA;NA;NA;0.81;NA;0;0;0;0;0;0;0;0;0.4;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
200127;127.Z;Verdalsvassdraget;x;Trøndelag;Verdal;2005;811;424;221;1456;1418;1831;2049;5298;0.4;0.7;0.55;0.3;0.35;0.55;0.3;0.35;0.45;0.2;0.3;0.45;4016.493103;3012.369828;5020.616378;NA;NA;NA;NA;0.95;NA;0;0;0;0;0;0;0;0;0.4;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
200127;127.Z;Verdalsvassdraget;x;Trøndelag;Verdal;2006;524;367;72;963;928;1779;674;3381;0.4;0.7;0.55;0.3;0.35;0.55;0.3;0.35;0.45;0.2;0.3;0.45;4016.493103;3012.369828;5020.616378;NA;NA;NA;NA;0;NA;0;0;0;0;0;0;0;0;0.4;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
200127;127.Z;Verdalsvassdraget;x;Trøndelag;Verdal;2007;78;159;79;316;136;739;678;1553;0.4;0.7;0.55;0.3;0.35;0.55;0.3;0.35;0.45;0.2;0.3;0.45;4016.493103;3012.369828;5020.616378;NA;NA;NA;NA;0.49;NA;0;0;0;0;0;0;0;0;0.4;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
