Lregnr;Vdrnr;Vassdrag;Vassdrag2;Fylke;Kommune;Aar;Laks_ant_u3kg;Laks_ant_o3u7kg;Laks_ant_o7kg;Laks_ant;Laks_vekt_u3kg;Laks_vekt_o3u7kg;Laks_vekt_o7kg;Laks_vekt;PrHuSmall;PrHuMellom;PrHuStor;ExpSmallMin;ExpSmallMed;ExpSmallMax;ExpMellomMin;ExpMellomMed;ExpMellomMax;ExpStorMin;ExpStorMed;ExpStorMax;GBMkghunner;GBMmin;GBMmax;StamAntSmaHo;StamAntMelHo;StamAntStorHo;Nsport;ProsOpp;OppdrMaalt;Gjen_ant_u3kg;Gjen_ant_o3u7kg;Gjen_ant_o7kg;Gjen_ant;Gjen_vekt_u3kg;Gjen_vekt_o3u7kg;Gjen_vekto7kg;Gjen_vekt;PrHuSmall_Gjenut;PrHuMellom_Gjenut;PrHuStor_Gjenut;FangstAndSmallMin;FangstAndSmallMed;FangstAndSmallMax;FangstAndMellomMin;FangstAndMellomMed;FangstAndMellomMax;FangstAndStorMin;FangstAndStorMed;FangstAndStorMax;Obs_laks_ant_u3kg;Obs_laks_ant_o3u7kg;Obs_laks_ant_o7kg;Obs_laks_ant;Probs_small_med;Probs_small_min;Probs_small_max;Probs_mellom_med;Probs_mellom_min;Probs_mellom_max;Probs_stor_med;Probs_stor_min;Probs_stor_max;Simulering;InklNormal
200038;038.Z;Vikedalselva;x;Rogaland;Vindafjord;1993;146;19;0;165;415;91;0;506;0.3;0.7;0.55;0.4;0.65;0.75;0.3;0.5;0.7;0.2;0.4;0.55;736.0551724;552.0413793;920.0689655;0;0;0;NA;4;NA;0;0;0;0;0;0;0;0;0.3;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
200038;038.Z;Vikedalselva;x;Rogaland;Vindafjord;1994;193;63;0;256;362;234;0;596;0.3;0.7;0.55;0.4;0.65;0.75;0.3;0.5;0.7;0.2;0.4;0.55;736.0551724;552.0413793;920.0689655;0;0;0;NA;5;NA;0;0;0;0;0;0;0;0;0.3;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
200038;038.Z;Vikedalselva;x;Rogaland;Vindafjord;1995;250;23;8;281;475;100;66;641;0.3;0.7;0.55;0.4;0.65;0.75;0.3;0.5;0.7;0.2;0.4;0.55;736.0551724;552.0413793;920.0689655;0;0;0;NA;5;NA;0;0;0;0;0;0;0;0;0.3;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
200038;038.Z;Vikedalselva;x;Rogaland;Vindafjord;1996;234;49;4;287;374;218;37;629;0.3;0.7;0.55;0.4;0.65;0.75;0.3;0.5;0.7;0.2;0.4;0.55;736.0551724;552.0413793;920.0689655;0;0;0;NA;6;NA;0;0;0;0;0;0;0;0;0.3;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
200038;038.Z;Vikedalselva;x;Rogaland;Vindafjord;1997;512;36;2;550;984;153;15;1152;0.3;0.7;0.55;0.4;0.65;0.75;0.3;0.5;0.7;0.2;0.4;0.55;736.0551724;552.0413793;920.0689655;0;0;0;NA;7;NA;0;0;0;0;0;0;0;0;0.3;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
200038;038.Z;Vikedalselva;x;Rogaland;Vindafjord;1998;25;190;11;226;55;1200;89;1344;0.3;0.7;0.55;0.4;0.65;0.75;0.3;0.5;0.7;0.2;0.4;0.55;736.0551724;552.0413793;920.0689655;0;0;0;NA;4.5;NA;0;0;0;0;0;0;0;0;0.3;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
200038;038.Z;Vikedalselva;x;Rogaland;Vindafjord;1999;575;28;11;614;1125;124;94;1343;0.3;0.7;0.55;0.4;0.65;0.75;0.3;0.5;0.7;0.2;0.4;0.55;736.0551724;552.0413793;920.0689655;0;0;0;NA;2;NA;0;0;0;0;0;0;0;0;0.3;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
200038;038.Z;Vikedalselva;x;Rogaland;Vindafjord;2000;1081;172;9;1262;2068;722;73;2863;0.3;0.7;0.55;0.4;0.65;0.75;0.3;0.5;0.7;0.2;0.4;0.55;736.0551724;552.0413793;920.0689655;0;0;0;NA;1;NA;0;0;0;0;0;0;0;0;0.3;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
200038;038.Z;Vikedalselva;x;Rogaland;Vindafjord;2001;601;488;20;1109;1085;1922;163;3170;0.3;0.7;0.55;0.4;0.65;0.75;0.3;0.5;0.7;0.2;0.4;0.55;736.0551724;552.0413793;920.0689655;0;0;0;NA;5;NA;0;0;0;0;0;0;0;0;0.3;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
200038;038.Z;Vikedalselva;x;Rogaland;Vindafjord;2002;263;270;15;548;417;1255;119;1791;0.3;0.7;0.55;0.4;0.65;0.75;0.3;0.5;0.7;0.2;0.4;0.55;736.0551724;552.0413793;920.0689655;0;0;0;NA;1.84;NA;0;0;0;0;0;0;0;0;0.3;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
200038;038.Z;Vikedalselva;x;Rogaland;Vindafjord;2003;361;310;29;700;632;1478;224;2334;0.3;0.7;0.55;0.4;0.65;0.75;0.3;0.5;0.7;0.2;0.4;0.55;736.0551724;552.0413793;920.0689655;0;0;0;NA;0.81;NA;0;0;0;0;0;0;0;0;0.3;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
200038;038.Z;Vikedalselva;x;Rogaland;Vindafjord;2004;293;251;20;564;508;1185;150;1843;0.3;0.7;0.55;0.4;0.65;0.75;0.3;0.5;0.7;0.2;0.4;0.55;736.0551724;552.0413793;920.0689655;0;0;0;NA;0;NA;0;0;0;0;0;0;0;0;0.3;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
200038;038.Z;Vikedalselva;x;Rogaland;Vindafjord;2005;551;192;25;768;958;864;220;2042;0.3;0.7;0.55;0.4;0.65;0.75;0.3;0.5;0.7;0.2;0.4;0.55;736.0551724;552.0413793;920.0689655;0;0;0;NA;0;NA;0;0;0;0;0;0;0;0;0.3;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
200038;038.Z;Vikedalselva;x;Rogaland;Vindafjord;2006;138;231;9;378;229;968;75;1272;0.3;0.7;0.55;0.4;0.65;0.75;0.3;0.5;0.7;0.2;0.4;0.55;736.0551724;552.0413793;920.0689655;0;0;0;NA;4;NA;0;0;0;0;0;0;0;0;0.3;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
