Lregnr;Vdrnr;Vassdrag;Vassdrag2;Fylke;Kommune;Aar;Laks_ant_u3kg;Laks_ant_o3u7kg;Laks_ant_o7kg;Laks_ant;Laks_vekt_u3kg;Laks_vekt_o3u7kg;Laks_vekt_o7kg;Laks_vekt;PrHuSmall;PrHuMellom;PrHuStor;ExpSmallMin;ExpSmallMed;ExpSmallMax;ExpMellomMin;ExpMellomMed;ExpMellomMax;ExpStorMin;ExpStorMed;ExpStorMax;GBMkghunner;GBMmin;GBMmax;StamAntSmaHo;StamAntMelHo;StamAntStorHo;Nsport;ProsOpp;OppdrMaalt;Gjen_ant_u3kg;Gjen_ant_o3u7kg;Gjen_ant_o7kg;Gjen_ant;Gjen_vekt_u3kg;Gjen_vekt_o3u7kg;Gjen_vekto7kg;Gjen_vekt;PrHuSmall_Gjenut;PrHuMellom_Gjenut;PrHuStor_Gjenut;FangstAndSmallMin;FangstAndSmallMed;FangstAndSmallMax;FangstAndMellomMin;FangstAndMellomMed;FangstAndMellomMax;FangstAndStorMin;FangstAndStorMed;FangstAndStorMax;Obs_laks_ant_u3kg;Obs_laks_ant_o3u7kg;Obs_laks_ant_o7kg;Obs_laks_ant;Probs_small_med;Probs_small_min;Probs_small_max;Probs_mellom_med;Probs_mellom_min;Probs_mellom_max;Probs_stor_med;Probs_stor_min;Probs_stor_max;Simulering;InklNormal
200972;097.2Z;Vikelva (Bjørke);x;MR;Ørsta;1993;177;122;30;329;300;650;250;1200;0.4;0.7;0.55;0.4;0.6;0.7;0.2;0.4;0.6;0.1;0.3;0.5;168.7655172;126.5741379;210.9568965;0;0;0;NA;5.25;NA;0;0;0;0;0;0;0;0;0.4;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
200972;097.2Z;Vikelva (Bjørke);x;MR;Ørsta;1994;204;31;24;259;347;164;197;708;0.4;0.7;0.55;0.4;0.6;0.7;0.2;0.4;0.6;0.1;0.3;0.5;168.7655172;126.5741379;210.9568965;0;0;0;NA;3.8;NA;0;0;0;0;0;0;0;0;0.4;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
200972;097.2Z;Vikelva (Bjørke);x;MR;Ørsta;1995;159;43;6;208;270;230;50;550;0.4;0.7;0.55;0.4;0.6;0.7;0.2;0.4;0.6;0.1;0.3;0.5;168.7655172;126.5741379;210.9568965;0;0;0;NA;4.45;NA;0;0;0;0;0;0;0;0;0.4;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
200972;097.2Z;Vikelva (Bjørke);x;MR;Ørsta;1996;21;26;6;53;32;98;45;175;0.4;0.7;0.55;0.4;0.6;0.7;0.2;0.4;0.6;0.1;0.3;0.5;168.7655172;126.5741379;210.9568965;0;0;0;NA;5.25;NA;0;0;0;0;0;0;0;0;0.4;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
200972;097.2Z;Vikelva (Bjørke);x;MR;Ørsta;1997;31;12;1;44;48;52;9;109;0.4;0.7;0.55;0.4;0.6;0.7;0.2;0.4;0.6;0.1;0.3;0.5;168.7655172;126.5741379;210.9568965;0;0;0;NA;7.15;NA;0;0;0;0;0;0;0;0;0.4;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
200972;097.2Z;Vikelva (Bjørke);x;MR;Ørsta;1998;62;4;1;67;84;15;10;109;0.4;0.7;0.55;0.4;0.6;0.7;0.2;0.4;0.6;0.1;0.3;0.5;168.7655172;126.5741379;210.9568965;0;0;0;NA;10.7;NA;0;0;0;0;0;0;0;0;0.4;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
200972;097.2Z;Vikelva (Bjørke);x;MR;Ørsta;1999;0;0;0;0;0;0;0;0;0.4;0.7;0.55;0.4;0.6;0.7;0.2;0.4;0.6;0.1;0.3;0.5;168.7655172;126.5741379;210.9568965;0;0;0;NA;4.3;NA;0;0;0;0;0;0;0;0;0.4;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0
200972;097.2Z;Vikelva (Bjørke);x;MR;Ørsta;2000;95;40;8;143;210;200;70;480;0.4;0.7;0.55;0.4;0.6;0.7;0.2;0.4;0.6;0.1;0.3;0.5;168.7655172;126.5741379;210.9568965;0;0;0;NA;5.1;NA;0;0;0;0;0;0;0;0;0.4;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
200972;097.2Z;Vikelva (Bjørke);x;MR;Ørsta;2001;330;40;3;373;495;220;25;740;0.4;0.7;0.55;0.4;0.6;0.7;0.2;0.4;0.6;0.1;0.3;0.5;168.7655172;126.5741379;210.9568965;0;0;0;NA;5.9;NA;0;0;0;0;0;0;0;0;0.4;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
200972;097.2Z;Vikelva (Bjørke);x;MR;Ørsta;2002;92;67;10;169;150;344;102;596;0.4;0.7;0.55;0.4;0.6;0.7;0.2;0.4;0.6;0.1;0.3;0.5;168.7655172;126.5741379;210.9568965;0;0;0;NA;7.6;NA;0;0;0;0;0;0;0;0;0.4;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
