Lregnr;Vdrnr;Vassdrag;Vassdrag2;Fylke;Kommune;Aar;Laks_ant_u3kg;Laks_ant_o3u7kg;Laks_ant_o7kg;Laks_ant;Laks_vekt_u3kg;Laks_vekt_o3u7kg;Laks_vekt_o7kg;Laks_vekt;PrHuSmall;PrHuMellom;PrHuStor;ExpSmallMin;ExpSmallMed;ExpSmallMax;ExpMellomMin;ExpMellomMed;ExpMellomMax;ExpStorMin;ExpStorMed;ExpStorMax;GBMkghunner;GBMmin;GBMmax;StamAntSmaHo;StamAntMelHo;StamAntStorHo;Nsport;ProsOpp;OppdrMaalt;Gjen_ant_u3kg;Gjen_ant_o3u7kg;Gjen_ant_o7kg;Gjen_ant;Gjen_vekt_u3kg;Gjen_vekt_o3u7kg;Gjen_vekto7kg;Gjen_vekt;PrHuSmall_Gjenut;PrHuMellom_Gjenut;PrHuStor_Gjenut;FangstAndSmallMin;FangstAndSmallMed;FangstAndSmallMax;FangstAndMellomMin;FangstAndMellomMed;FangstAndMellomMax;FangstAndStorMin;FangstAndStorMed;FangstAndStorMax;Obs_laks_ant_u3kg;Obs_laks_ant_o3u7kg;Obs_laks_ant_o7kg;Obs_laks_ant;Probs_small_med;Probs_small_min;Probs_small_max;Probs_mellom_med;Probs_mellom_min;Probs_mellom_max;Probs_stor_med;Probs_stor_min;Probs_stor_max
201042;104.2Z;Visa;x;MR;Nesset;1993;60;15;0;75;105;60;0;165;0.4;0.7;0.55;0.4;0.6;0.7;0.2;0.4;0.6;0.1;0.3;0.5;185.4206897;139.0655172;278.1310345;;;;;10.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
201042;104.2Z;Visa;x;MR;Nesset;1994;55;20;4;79;100;85;36;221;0.4;0.7;0.55;0.4;0.6;0.7;0.2;0.4;0.6;0.1;0.3;0.5;185.4206897;139.0655172;278.1310345;;;;;7.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
201042;104.2Z;Visa;x;MR;Nesset;1995;48;20;4;72;92;88;32;212;0.4;0.7;0.55;0.4;0.6;0.7;0.2;0.4;0.6;0.1;0.3;0.5;185.4206897;139.0655172;278.1310345;0;0;0;;8.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
201042;104.2Z;Visa;x;MR;Nesset;1996;26;14;2;42;46;58;16;120;0.4;0.7;0.55;0.4;0.6;0.7;0.2;0.4;0.6;0.1;0.3;0.5;185.4206897;139.0655172;278.1310345;0;0;0;;10.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
201042;104.2Z;Visa;x;MR;Nesset;1997;13;34;2;49;26;127;17;170;0.4;0.7;0.55;0.4;0.6;0.7;0.2;0.4;0.6;0.1;0.3;0.5;185.4206897;139.0655172;278.1310345;0;0;0;;14.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
201042;104.2Z;Visa;x;MR;Nesset;1998;15;19;1;35;28;94;8;130;0.4;0.7;0.55;0.4;0.6;0.7;0.2;0.4;0.6;0.1;0.3;0.5;185.4206897;139.0655172;278.1310345;0;0;0;;21.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
201042;104.2Z;Visa;x;MR;Nesset;1999;46;16;0;62;108;66;0;174;0.4;0.7;0.55;0.4;0.6;0.7;0.2;0.4;0.6;0.1;0.3;0.5;185.4206897;139.0655172;278.1310345;0;0;0;;8.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
201042;104.2Z;Visa;x;MR;Nesset;2000;244;15;2;261;327;55;20;402;0.4;0.7;0.55;0.4;0.6;0.7;0.2;0.4;0.6;0.1;0.3;0.5;185.4206897;139.0655172;278.1310345;0;0;0;;10.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
201042;104.2Z;Visa;x;MR;Nesset;2001;29;71;1;101;60;295;9;363;0.4;0.7;0.55;0.4;0.6;0.7;0.2;0.4;0.6;0.1;0.3;0.5;185.4206897;139.0655172;278.1310345;0;0;0;;11.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
201042;104.2Z;Visa;x;MR;Nesset;2002;14;0;0;14;39;0;0;39;0.4;0.7;0.55;0.4;0.6;0.7;0.2;0.4;0.6;0.1;0.3;0.5;185.4206897;139.0655172;278.1310345;0;0;0;;15.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
