Lregnr;Vdrnr;Vassdrag;Vassdrag2;Fylke;Kommune;Aar;Laks_ant_u3kg;Laks_ant_o3u7kg;Laks_ant_o7kg;Laks_ant;Laks_vekt_u3kg;Laks_vekt_o3u7kg;Laks_vekt_o7kg;Laks_vekt;PrHuSmall;PrHuMellom;PrHuStor;ExpSmallMin;ExpSmallMed;ExpSmallMax;ExpMellomMin;ExpMellomMed;ExpMellomMax;ExpStorMin;ExpStorMed;ExpStorMax;GBMkghunner;GBMmin;GBMmax;StamAntSmaHo;StamAntMelHo;StamAntStorHo;Nsport;ProsOpp;OppdrMaalt;Gjen_ant_u3kg;Gjen_ant_o3u7kg;Gjen_ant_o7kg;Gjen_ant;Gjen_vekt_u3kg;Gjen_vekt_o3u7kg;Gjen_vekto7kg;Gjen_vekt;PrHuSmall_Gjenut;PrHuMellom_Gjenut;PrHuStor_Gjenut;FangstAndSmallMin;FangstAndSmallMed;FangstAndSmallMax;FangstAndMellomMin;FangstAndMellomMed;FangstAndMellomMax;FangstAndStorMin;FangstAndStorMed;FangstAndStorMax;Obs_laks_ant_u3kg;Obs_laks_ant_o3u7kg;Obs_laks_ant_o7kg;Obs_laks_ant;Probs_small_med;Probs_small_min;Probs_small_max;Probs_mellom_med;Probs_mellom_min;Probs_mellom_max;Probs_stor_med;Probs_stor_min;Probs_stor_max
200353;035.3Z;Vormo;x;Rogaland;Hjelmeland;1993;109;59;10;178;240;266;92;598;0.3;0.7;0.55;0.4;0.6;0.7;0.2;0.4;0.6;0.1;0.3;0.5;299.7517241;224.8137931;374.6896552;0;0;0;;7.21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200353;035.3Z;Vormo;x;Rogaland;Hjelmeland;1994;116;51;3;170;214;244;28;486;0.3;0.7;0.55;0.4;0.6;0.7;0.2;0.4;0.6;0.1;0.3;0.5;299.7517241;224.8137931;374.6896552;0;0;0;;5.88;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200353;035.3Z;Vormo;x;Rogaland;Hjelmeland;1995;77;51;4;132;149;252;32;433;0.3;0.7;0.55;0.4;0.6;0.7;0.2;0.4;0.6;0.1;0.3;0.5;299.7517241;224.8137931;374.6896552;0;0;0;;7.35;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200353;035.3Z;Vormo;x;Rogaland;Hjelmeland;1996;49;41;2;92;94;202;18;314;0.3;0.7;0.55;0.4;0.6;0.7;0.2;0.4;0.6;0.1;0.3;0.5;299.7517241;224.8137931;374.6896552;0;0;0;;5.32;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200353;035.3Z;Vormo;x;Rogaland;Hjelmeland;1997;160;24;0;184;407;111;0;518;0.3;0.7;0.55;0.4;0.6;0.7;0.2;0.4;0.6;0.1;0.3;0.5;299.7517241;224.8137931;374.6896552;0;0;0;;6.23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200353;035.3Z;Vormo;x;Rogaland;Hjelmeland;1998;35;89;12;136;73;432;100;605;0.3;0.7;0.55;0.4;0.6;0.7;0.2;0.4;0.6;0.1;0.3;0.5;299.7517241;224.8137931;374.6896552;0;0;0;;7.35;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200353;035.3Z;Vormo;x;Rogaland;Hjelmeland;1999;326;10;1;337;598;44;8;650;0.3;0.7;0.55;0.4;0.6;0.7;0.2;0.4;0.6;0.1;0.3;0.5;299.7517241;224.8137931;374.6896552;0;0;0;;10.01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200353;035.3Z;Vormo;x;Rogaland;Hjelmeland;2000;414;176;14;604;747;782;108;1637;0.3;0.7;0.55;0.4;0.6;0.7;0.2;0.4;0.6;0.1;0.3;0.5;299.7517241;224.8137931;374.6896552;0;0;0;;14.98;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200353;035.3Z;Vormo;x;Rogaland;Hjelmeland;2001;231;172;21;424;440;818;175;1432;0.3;0.7;0.55;0.4;0.6;0.7;0.2;0.4;0.6;0.1;0.3;0.5;299.7517241;224.8137931;374.6896552;0;0;0;;6.02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200353;035.3Z;Vormo;x;Rogaland;Hjelmeland;2002;197;100;21;318;318;495;183;996;0.3;0.7;0.55;0.4;0.6;0.7;0.2;0.4;0.6;0.1;0.3;0.5;299.7517241;224.8137931;374.6896552;0;0;0;;7.14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
