"Vassdrag" "Vdrnr" "Kommune" "Aar" "GBMkghunner" "ElvebestVillSma025" "ElvebestVillSma25" "ElvebestVillSma50" "ElvebestVillSma75" "ElvebestVillSma975" "ElvebestVillMel025" "ElvebestVillMel25" "ElvebestVillMel50" "ElvebestVillMel75" "ElvebestVillMel975" "ElvebestVillStor025" "ElvebestVillStor25" "ElvebestVillStor50" "ElvebestVillStor75" "ElvebestVillStor975" "ElvebestVillTot025" "ElvebestVillTot25" "ElvebestVillTot50" "ElvebestVillTot75" "ElvebestVillTot975" "OppdrettAntall025" "OppdrettAntall25" "OppdrettAntall50" "OppdrettAntall75" "OppdrettAntall975" "AntOppdr025" "AntOppdr25" "AntOppdr50" "AntOppdr75" "AntOppdr975"
"Enningdalselva" "001.1Z" "Halden" 1993 453 272.859779484299 299.881282586645 318.412969977088 333.702652193724 356.845235203293 26.9393226966633 32.425861354329 36.2989814102359 40.2256570677378 48.0971559334256 30.5920046438492 36.4157989212931 41.1721597976956 46.1020766827513 57.1248204385848 348.482212119067 377.241093948818 395.998254427324 412.653635624828 438.605264189458 0 0 1 2 3 0 0 1.95212721624948 3.724474566373 7.96100877211279
"Enningdalselva" "001.1Z" "Halden" 1994 453 8.23652703321748 9.60366175203349 10.3045499627994 10.857187423178 11.630347896817 31.7818768842211 37.5982070796372 42.0752747168707 46.3610258888698 54.6855914988303 73.7121361186914 87.718902863881 99.2254520973054 110.881590173444 136.335698409374 122.983002376587 139.721283372299 152.002037516295 164.216001572571 190.89750090139 0 0 0 0 2 0 0 0 0 3.84082004096815
"Enningdalselva" "001.1Z" "Halden" 1995 453 161.220439343867 177.226808510235 188.440848411598 197.712646572597 210.63503713135 78.9016118125899 93.1039697430785 103.868114745981 115.192467140436 136.332537444953 131.103741213771 154.711866616112 174.441799368629 196.53364984444 244.463830455919 404.929391443691 443.805271516979 467.584591319824 493.120668148179 546.125023746439 0 0 1 1 3 0 0 1.80790122065706 2.98170551909315 7.31078609747171
"Enningdalselva" "001.1Z" "Halden" 1996 453 121.349960397007 132.910129672816 141.388728848104 148.569102394656 158.762445427872 154.216865827651 181.148596672106 202.149118176268 224.38807998311 265.219173156878 115.121838646203 137.09395281171 155.215358938954 173.775230222354 217.552493399373 428.534973757654 472.629880730674 499.675254793674 529.436760560889 587.93132455509 1 3 4 6 9 1.84302542004388 6.41894746828757 9.48894459454199 13.0353475710772 21.333980195042
"Enningdalselva" "001.1Z" "Halden" 1997 453 24.3290597590152 27.8447730387863 29.7236834772152 31.5740833376538 34.4372365343551 68.0680123162608 80.6767680660661 90.3182471418524 100.234361204015 118.389377481784 56.5050081137999 67.2147689342875 76.1915755088696 85.4753185856914 105.28115340293 163.894979761425 184.351395296414 197.000602536359 210.262897824316 236.458383507306 0 1 2 3 6 0 2.81041147493308 5.20070707838774 7.7164507982409 13.9433084277957
"Enningdalselva" "001.1Z" "Halden" 1998 453 162.930915097458 178.467629867958 189.508021355759 199.052351340141 212.942855951338 95.3582451353306 112.74599027986 126.988857632357 140.26556894122 166.078325875201 49.3324454832892 58.6659784425614 66.2963178391045 74.80744726864 93.9812374023819 335.673666568182 364.659974438726 382.46765705685 401.416812861661 434.891368456583 0 1 2 3 5 0 1.88030231248656 3.82403651547682 6.04620635493212 11.4526438210348
"Enningdalselva" "001.1Z" "Halden" 1999 453 86.1187234287858 94.5238752135439 100.407925060773 105.595345780651 112.658348489243 138.794243952634 162.924199363531 182.487250109368 201.40428330125 237.521703881354 71.3042992955891 84.505094384484 95.5814261354334 107.136350384518 133.269633644794 322.628558717443 357.386706188367 378.764448888217 402.508214410587 446.625915810429 0 0 0 0 0 0 0 0 0 0
"Enningdalselva" "001.1Z" "Halden" 2000 453 116.474474151642 127.743323912447 135.736665030307 142.463931395037 152.238058424041 153.017507957316 179.138244403365 200.643831553044 221.470987801012 261.568495816745 99.4172377465049 118.069091281722 133.258964984007 149.487751640015 184.812899355201 403.397167626317 444.780672893862 470.714167405043 498.199511021532 548.748084309628 0 1 2 3 5 0 1.99932657308259 4.12327304631612 6.50987666547721 12.3530700319462
"Enningdalselva" "001.1Z" "Halden" 2001 453 32.7070724525712 35.90754373855 38.0662879853124 39.9854528748458 42.5302618193338 106.90455369626 125.725097956526 139.898097221139 154.173449474968 182.4582091551 66.8675035025605 79.1519056109252 89.5206942000416 100.445129809515 124.848397447921 224.034560151544 251.074211487415 268.316864861328 286.426896936292 321.390953440342 0 0 0 0 0 0 0 0 0 0
"Enningdalselva" "001.1Z" "Halden" 2002 453 66.9677487585974 73.544989785791 77.8811930453369 81.7275955507354 87.2338007378682 83.4940266746298 98.4088449522949 110.32021390732 121.90441999016 142.845189457653 47.9141062438808 56.6213890391156 63.7138012981519 71.2403230390297 89.0443469786335 217.274589881332 238.492651536685 252.057401883584 266.385805851967 294.130566757157 0 0 0 0 0 0 0 0 0 0
"Enningdalselva" "001.1Z" "Halden" 2003 453 57.5965088256367 63.128660898101 66.9112796642137 70.3076590357311 75.1355871708442 184.821120553326 217.584152371119 243.658863099514 268.824602640467 315.564628281153 109.357364251459 129.071816639444 146.302027780788 163.795978103548 202.561251660069 382.733605497073 429.35432224796 457.673051754938 488.866481907674 547.867800381544 0 0 1 1 3 0 0 1.79386896607712 3.13827456473092 7.48156111626862
"Enningdalselva" "001.1Z" "Halden" 2004 453 84.8566748718301 92.9408728072356 98.6336165616685 103.621586702831 110.389921035134 66.2237657383801 77.4607883770559 86.537737960206 96.0160294308433 113.26572040278 38.3435862352743 45.4290048086377 51.1436772982305 57.1806781023195 71.0850827388609 206.359156651002 225.246088195453 237.119977059349 248.958802749628 270.436038557318 0 0 0 0 0 0 0 0 0 0
"Enningdalselva" "001.1Z" "Halden" 2005 453 50.5370119138326 55.4599519750291 58.8566347393631 61.7518785317995 65.849472414345 175.032757808792 205.149903347592 229.120590363069 253.585978611173 298.765957739805 88.2535912283087 104.199077751578 117.770416307496 132.626528431713 162.683159144512 339.866818329084 380.331818979475 406.84381488827 435.41023609875 485.872492271174 0 0 0 0 0 0 0 0 0 0
"Enningdalselva" "001.1Z" "Halden" 2006 453 20.8364607737579 22.8751803028581 24.2786237737879 25.4629696800425 27.1939166634758 190.882097562488 224.37133640311 250.304822147053 275.367341091407 324.783021800588 107.777031895963 127.543505121122 143.375796866422 160.720839115025 200.779672436027 343.586178434785 390.30535452428 420.162782089544 450.703437687031 510.454727517039 0 0 0 0 0 0 0 0 0 0
"Enningdalselva" "001.1Z" "Halden" 2007 453 56.4189995426004 61.9540895009726 65.6164091200669 69.0595868971922 73.6580278512536 117.662670634485 138.286949402408 154.519003462542 170.458888344937 201.875731947025 68.9920817473969 82.2380916604471 92.612123493556 104.270986700753 129.329849515398 265.2383107784 295.406396321476 313.859920535476 333.539620729532 371.207944236701 0 0 0 0 0 0 0 0 0 0
