"Vassdrag" "Vdrnr" "Aar" "ExpSmallMin" "FangstAndSmallMin" "ExpSmallMed" "FangstAndSmallMed" "ExpSmallMax" "FangstAndSmallMax" "ExpMellomMin" "FangstAndMellomMin" "ExpMellomMed" "FangstAndMellomMed" "ExpMellomMax" "FangstAndMellomMax" "ExpStorMin" "FangstAndStorMin" "ExpStorMed" "FangstAndStorMed" "ExpStorMax" "FangstAndStorMax"
"Enningdalselva" "001.1Z" 1993 0.5 0.5 0.55 0.55 0.7 0.7 0.3 0.3 0.4 0.4 0.6 0.6 0.2 0.2 0.3 0.3 0.45 0.45
"Enningdalselva" "001.1Z" 1994 0.5 0.5 0.55 0.55 0.7 0.7 0.3 0.3 0.4 0.4 0.6 0.6 0.2 0.2 0.3 0.3 0.45 0.45
"Enningdalselva" "001.1Z" 1995 0.5 0.5 0.55 0.55 0.7 0.7 0.3 0.3 0.4 0.4 0.6 0.6 0.2 0.2 0.3 0.3 0.45 0.45
"Enningdalselva" "001.1Z" 1996 0.5 0.5 0.55 0.55 0.7 0.7 0.3 0.3 0.4 0.4 0.6 0.6 0.2 0.2 0.3 0.3 0.45 0.45
"Enningdalselva" "001.1Z" 1997 0.5 0.5 0.55 0.55 0.7 0.7 0.3 0.3 0.4 0.4 0.6 0.6 0.2 0.2 0.3 0.3 0.45 0.45
"Enningdalselva" "001.1Z" 1998 0.5 0.5 0.55 0.55 0.7 0.7 0.3 0.3 0.4 0.4 0.6 0.6 0.2 0.2 0.3 0.3 0.45 0.45
"Enningdalselva" "001.1Z" 1999 0.5 0.5 0.55 0.55 0.7 0.7 0.3 0.3 0.4 0.4 0.6 0.6 0.2 0.2 0.3 0.3 0.45 0.45
"Enningdalselva" "001.1Z" 2000 0.5 0.5 0.55 0.55 0.7 0.7 0.3 0.3 0.4 0.4 0.6 0.6 0.2 0.2 0.3 0.3 0.45 0.45
"Enningdalselva" "001.1Z" 2001 0.5 0.5 0.55 0.55 0.7 0.7 0.3 0.3 0.4 0.4 0.6 0.6 0.2 0.2 0.3 0.3 0.45 0.45
"Enningdalselva" "001.1Z" 2002 0.5 0.5 0.55 0.55 0.7 0.7 0.3 0.3 0.4 0.4 0.6 0.6 0.2 0.2 0.3 0.3 0.45 0.45
"Enningdalselva" "001.1Z" 2003 0.5 0.5 0.55 0.55 0.7 0.7 0.3 0.3 0.4 0.4 0.6 0.6 0.2 0.2 0.3 0.3 0.45 0.45
"Enningdalselva" "001.1Z" 2004 0.5 0.5 0.55 0.55 0.7 0.7 0.3 0.3 0.4 0.4 0.6 0.6 0.2 0.2 0.3 0.3 0.45 0.45
"Enningdalselva" "001.1Z" 2005 0.5 0.5 0.55 0.55 0.7 0.7 0.3 0.3 0.4 0.4 0.6 0.6 0.2 0.2 0.3 0.3 0.45 0.45
"Enningdalselva" "001.1Z" 2006 0.5 0.5 0.55 0.55 0.7 0.7 0.3 0.3 0.4 0.4 0.6 0.6 0.2 0.2 0.3 0.3 0.45 0.45
"Enningdalselva" "001.1Z" 2007 0.5 0.5 0.55 0.55 0.7 0.7 0.3 0.3 0.4 0.4 0.6 0.6 0.2 0.2 0.3 0.3 0.45 0.45
"Enningdalselva" "001.1Z" 2008 0.4 0.4 0.45 0.45 0.6 0.6 0.2 0.2 0.3 0.3 0.5 0.5 0.1 0.1 0.2 0.2 0.35 0.35
"Enningdalselva" "001.1Z" 2009 0.4 0.4 0.45 0.45 0.6 0.6 0.2 0.2 0.3 0.3 0.5 0.5 0.1 0.1 0.2 0.2 0.35 0.35
"Enningdalselva" "001.1Z" 2010 0.4 0.4 0.45 0.45 0.6 0.6 0.2 0.2 0.3 0.3 0.5 0.5 0.1 0.1 0.2 0.2 0.35 0.35
"Enningdalselva" "001.1Z" 2011 0.4 0.4 0.45 0.45 0.6 0.6 0.2 0.2 0.3 0.3 0.5 0.5 0.1 0.1 0.2 0.2 0.35 0.35
"Enningdalselva" "001.1Z" 2012 0.5 0.5 0.55 0.55 0.7 0.7 0.3 0.3 0.4 0.4 0.6 0.6 0.2 0.2 0.3 0.3 0.45 0.45
"Enningdalselva" "001.1Z" 2013 0.4 0.4 0.45 0.45 0.6 0.6 0.2 0.2 0.3 0.3 0.5 0.5 0.1 0.1 0.2 0.2 0.35 0.35
"Enningdalselva" "001.1Z" 2014 0.4 0.4 0.45 0.45 0.6 0.6 0.2 0.2 0.3 0.3 0.5 0.5 0.1 0.1 0.2 0.2 0.35 0.35
"Enningdalselva" "001.1Z" 2015 0.5 0.5 0.55 0.55 0.7 0.7 0.3 0.3 0.4 0.4 0.6 0.6 0.2 0.2 0.3 0.3 0.45 0.45
"Enningdalselva" "001.1Z" 2016 0.4 0.4 0.45 0.45 0.6 0.6 0.2 0.2 0.3 0.3 0.5 0.5 0.1 0.1 0.2 0.2 0.35 0.35
"Enningdalselva" "001.1Z" 2017 0.4 0.4 0.45 0.45 0.6 0.6 0.2 0.2 0.3 0.3 0.5 0.5 0.1 0.1 0.2 0.2 0.35 0.35
"Enningdalselva" "001.1Z" 2018 0.1 0.1 0.15 0.15 0.2 0.2 0.1 0.1 0.15 0.15 0.25 0.25 0.05 0.05 0.1 0.1 0.15 0.15
"Enningdalselva" "001.1Z" 2019 0 0.1 0 0.15 0 0.2 0.0833333333333333 0.1 0.125 0.15 0.208333333333333 0.25 0.05 0.05 0.1 0.1 0.15 0.15
"Glomma" "002.Z" 1993 0.2 0.2 0.35 0.35 0.45 0.45 0.2 0.2 0.25 0.25 0.35 0.35 0.1 0.1 0.2 0.2 0.35 0.35
"Glomma" "002.Z" 1994 0.2 0.2 0.35 0.35 0.45 0.45 0.2 0.2 0.25 0.25 0.35 0.35 0.1 0.1 0.2 0.2 0.35 0.35
"Glomma" "002.Z" 1995 0.2 0.2 0.35 0.35 0.45 0.45 0.2 0.2 0.25 0.25 0.35 0.35 0.1 0.1 0.2 0.2 0.35 0.35
"Glomma" "002.Z" 1996 0.2 0.2 0.35 0.35 0.45 0.45 0.2 0.2 0.25 0.25 0.35 0.35 0.1 0.1 0.2 0.2 0.35 0.35
"Glomma" "002.Z" 1997 0.2 0.2 0.35 0.35 0.45 0.45 0.2 0.2 0.25 0.25 0.35 0.35 0.1 0.1 0.2 0.2 0.35 0.35
"Glomma" "002.Z" 1998 0.2 0.2 0.35 0.35 0.45 0.45 0.2 0.2 0.25 0.25 0.35 0.35 0.1 0.1 0.2 0.2 0.35 0.35
"Glomma" "002.Z" 1999 0.2 0.2 0.35 0.35 0.45 0.45 0.2 0.2 0.25 0.25 0.35 0.35 0.1 0.1 0.2 0.2 0.35 0.35
