Vassdrag	Vdrnr	Aar	FangstHunnU3_Justert	FangstHunn37_Justert	FangstHunnO7_Justert	GytingHunnU3	GytingHunn37	GytingHunnO7	AndelHunnU3	AndelHunn37	AndelHunnO7
Enningdalselva	001.1Z	1993	5.896349815	211.1740513	151.9738672	4.992095893	297.7720248	416.6853686	0.099098316	0.690167832	0.551845065
Enningdalselva	001.1Z	1994	5.00963834	221.3821566	153.40912	4.68309878	335.2504819	442.8339494	0.104414993	0.698071187	0.551586644
Enningdalselva	001.1Z	1995	5.303942473	206.5424541	150.5598349	4.258750375	290.3407073	432.7341614	0.09881933	0.704007254	0.540274215
Enningdalselva	001.1Z	1996	4.864187414	211.9811525	153.9865023	4.326120869	338.2753046	420.3898353	0.095443493	0.69464631	0.556096713
Enningdalselva	001.1Z	1997	5.261078412	218.7780646	149.2529547	4.848442512	268.0374659	469.9542953	0.091296439	0.700911898	0.547980228
Enningdalselva	001.1Z	1998	5.112647472	219.4421557	149.5253984	4.367613729	265.6993569	430.7168229	0.098320144	0.703157276	0.557338462
Enningdalselva	001.1Z	1999	5.26246121	223.1758681	147.2496706	4.667907835	299.5454508	457.6215132	0.104932843	0.696806432	0.547394582
Enningdalselva	001.1Z	2000	5.129976832	217.0176638	157.684573	4.353853153	356.6273004	493.666981	0.085634906	0.694678821	0.557645198
Enningdalselva	001.1Z	2001	4.366332413	214.4194119	150.220965	4.47511056	334.7919722	448.3755069	0.101430557	0.698341941	0.556847647
Enningdalselva	001.1Z	2002	4.994971402	218.837668	148.4179452	4.203221001	339.9271229	453.0080243	0.097906156	0.700504699	0.549473576
Enningdalselva	001.1Z	2003	5.195061868	210.0955723	156.6786711	4.683654317	346.0992728	480.9220145	0.105904013	0.692618298	0.556885705
Enningdalselva	001.1Z	2004	4.905269468	215.2314697	153.7330586	4.144543129	321.4659902	483.3499541	0.102979176	0.702821193	0.557436664
Enningdalselva	001.1Z	2005	5.227050182	215.8545302	149.8271321	5.112486322	350.0597078	410.0485166	0.10759358	0.702447751	0.549943192
Enningdalselva	001.1Z	2006	5.488274688	217.8391952	154.5145102	4.573702646	342.1552596	449.396024	0.103334484	0.703210856	0.548852624
Enningdalselva	001.1Z	2007	4.746805458	210.8110365	145.4208073	3.881064611	408.999771	496.8942652	0.099850543	0.699404677	0.554584054
Enningdalselva	001.1Z	2008	6.171781081	218.7108768	148.4561661	5.128889932	303.2021982	430.1941467	0.107301308	0.697006993	0.538240084
Enningdalselva	001.1Z	2009	5.903455109	217.373796	153.5939476	4.075291478	274.0835376	445.2971991	0.103411622	0.695924757	0.548646488
Enningdalselva	001.1Z	2010	5.843603718	214.8943458	149.9180951	4.841532141	316.7912726	391.0629716	0.105645398	0.696339834	0.556532743
Enningdalselva	001.1Z	2011	4.668832063	216.947112	159.0681232	5.190729978	328.5081813	393.4549247	0.094486098	0.702325065	0.554014659
Enningdalselva	001.1Z	2012	6.143173299	212.5876346	152.0474128	4.798194825	273.6884332	460.5550504	0.104250292	0.7030545	0.557733934
Enningdalselva	001.1Z	2013	5.549593753	215.0418834	149.752307	4.705410677	315.6939704	449.7689067	0.097509732	0.699412952	0.552251529
Enningdalselva	001.1Z	2014	5.025261412	218.8361951	154.06382	4.09118286	352.6020622	442.3672407	0.09984594	0.697890332	0.551583489
Enningdalselva	001.1Z	2015	4.950712741	218.322466	156.0134183	3.982829687	347.3207592	534.2087171	0.102123388	0.6994465	0.550420502
Enningdalselva	001.1Z	2016	5.083559031	216.4344609	143.3906854	5.028571925	295.828218	412.8941926	0.091519112	0.694745584	0.553335164
Enningdalselva	001.1Z	2017	6.341527631	220.6784206	145.6450879	5.158142496	365.6562313	424.5477393	0.097647141	0.698306626	0.551892802
Enningdalselva	001.1Z	2018	5.850035308	220.0332237	154.3784005	4.381420701	372.3408601	467.2820707	0.100872587	0.704782007	0.54630036
Enningdalselva	001.1Z	2019	6.022625866	207.5285493	152.3460655	5.281525518	297.8038652	483.2603786	0.103624052	0.708588396	0.547263127
Glomma	002.Z	1993	8.109204471	178.1850208	115.9663742	22.77069213	633.7335365	697.2568475	0.096901245	0.712681067	0.555606356
Glomma	002.Z	1994	8.72834171	186.2017855	121.8955669	18.6854098	645.8137748	541.9279211	0.09291253	0.7083935	0.55858593
Glomma	002.Z	1995	8.923267988	182.1728766	118.7921567	18.34995509	667.3765534	467.6987527	0.102978921	0.708332339	0.557770573
Glomma	002.Z	1996	8.52850416	173.331489	112.3972411	24.78987435	639.3719522	577.8238882	0.10649273	0.703427327	0.561047883
Glomma	002.Z	1997	9.193187864	178.1575749	103.382986	18.25446149	555.6756206	549.9856716	0.097856896	0.713978742	0.565696046
Glomma	002.Z	1998	8.853433612	173.1410299	115.4150453	21.01486277	776.4185864	529.4616383	0.094496537	0.70482787	0.564676281
Glomma	002.Z	1999	9.784910177	167.1068285	113.0139513	21.47537855	634.1319776	584.0884847	0.101893695	0.705502747	0.558321547
Glomma	002.Z	2000	8.646742862	176.1104177	112.5005629	18.41011435	608.6189517	639.9707569	0.100714159	0.702483276	0.559703097
Glomma	002.Z	2001	8.117972772	171.7449181	114.7645961	18.26258173	618.3397705	557.6361591	0.085551241	0.693472951	0.550762669
Glomma	002.Z	2002	9.255204989	185.8208924	120.2282035	25.251371	674.8796707	712.4581908	0.102652423	0.705927967	0.557197474
Glomma	002.Z	2003	8.430033084	177.4853326	120.0180497	18.98633755	599.3622118	562.4630068	0.099630902	0.711140855	0.565498548
Glomma	002.Z	2004	7.362692104	168.5293244	111.2465603	20.32591291	690.8090593	654.3515804	0.102807241	0.716801745	0.561246939
Glomma	002.Z	2005	8.891253147	189.112123	111.0767948	25.64006737	645.2505714	585.4407578	0.10096355	0.717060214	0.558410393
Glomma	002.Z	2006	10.04313427	172.6506531	113.0331022	22.52542078	741.5048154	544.5530657	0.099952054	0.71635044	0.553760296
Glomma	002.Z	2007	10.840669	191.7203284	117.9684009	18.05571336	685.5509938	663.4116992	0.091554093	0.705983877	0.556965297
Glomma	002.Z	2008	8.719932879	175.9386007	115.3065542	25.09266631	714.0456718	648.0373553	0.099897825	0.713403833	0.558278454
Glomma	002.Z	2009	9.031321815	172.0670725	124.0566611	19.60049482	590.1052169	622.1444154	0.097569629	0.700585106	0.552815666
Glomma	002.Z	2010	9.704840117	167.2894432	112.7480518	25.82372754	597.3330912	630.961606	0.103612568	0.704304971	0.559800919
Glomma	002.Z	2011	9.081671184	182.2880096	113.7375232	21.98929788	555.573374	705.322505	0.102706833	0.716792267	0.558184738
Glomma	002.Z	2012	9.482377898	186.7693332	119.2663939	22.41188353	674.6172481	720.9901434	0.094447079	0.705130462	0.564478866
Glomma	002.Z	2013	8.656656281	178.0223668	113.0502608	27.67095994	650.6660744	575.9906954	0.100070114	0.710870831	0.561233445
Glomma	002.Z	2014	9.430029812	176.2460488	102.8493235	22.06048462	735.1926194	752.573272	0.107017873	0.709797524	0.568050235
Glomma	002.Z	2015	8.076299184	179.845929	117.8321952	14.44821784	606.9704611	585.2186179	0.094180061	0.70632428	0.557910597
Glomma	002.Z	2016	9.623437029	169.6049608	118.8671464	25.04416099	667.8773477	684.0302247	0.107087354	0.697654465	0.563703716
